file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Main/Admin.java,Main.Admin$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Patient/patientActivity.java,Patient.patientActivity$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Patient/patientActivity.java,Patient.patientActivity$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Patient/patientActivity.java,Patient.patientActivity$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Main/Connector.java,Main.Connector,class,1,27,26,1,3,1,0,4,1,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,17,2,0,0,1,0,4,0,2,0,1,1,0,0,0,17,1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Patient/addPatient.java,Patient.addPatient,class,4,22,18,4,25,6,0,61,188,0.9468752,0,0,20,1,2,18,0,0,2,0,0,0,32,0,0,29,0,3,0,0,7,339,0,1,2,2,0,49,155,57,0,51,3,16,0,1,108,1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Doctors/updateDoctor.java,Doctors.updateDoctor$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Doctors/updateDoctor.java,Doctors.updateDoctor$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Main/Doctor.java,Main.Doctor,class,4,9,5,4,8,6,0,54,15,0.8333333,0,0,6,1,2,4,0,0,2,0,0,0,12,0,0,8,0,4,0,0,6,116,0,0,0,1,0,21,70,22,2,19,2,3,0,1,74,1,0
/Users/Mac/Downloads/HospitalManagementSystem-master/Hospital Managment System/src/Admins/ReceptionistManagement.java,Admins.ReceptionistManagement$Anonymous12,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
