file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Veritabani/SoyutDB.java,Veritabani.SoyutDB,tabloKontrol/0,FALSE,32,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Veritabani/SoyutDB.java,Veritabani.SoyutDB,maxTarihGelenler/0,FALSE,97,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Veritabani/SoyutDB.java,Veritabani.SoyutDB,okuPersoneller/0,FALSE,80,1,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Veritabani/SoyutDB.java,Veritabani.SoyutDB,tabloOlustur/0,FALSE,34,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Veritabani/SoyutDB.java,Veritabani.SoyutDB,minTarihGelenler/0,FALSE,99,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Veritabani/SoyutDB.java,Veritabani.SoyutDB,maxTarihGidenler/0,FALSE,101,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Veritabani/SoyutDB.java,Veritabani.SoyutDB,tabloYukle/0,FALSE,36,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Veritabani/SoyutDB.java,Veritabani.SoyutDB,baglan/0,FALSE,27,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1025,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Veritabani/SoyutDB.java,Veritabani.SoyutDB,okuGelenler/0,FALSE,70,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,FALSE
/Users/Mac/Downloads/Depo-Yonetim-Sistemi-main/src/Veritabani/SoyutDB.java,Veritabani.SoyutDB,ekle/1[Siniflar.Personel],FALSE,51,1,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,FALSE
