file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/Login.java,Login$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],FALSE,62,1,21,0,21,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,FALSE
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/MyPage.java,MyPage,Table1/0,FALSE,62,0,1,1,0,3,7,19,0,1,0,7,0,0,0,0,2,0,1,0,3,0,2,0,0,0,7,1,0,FALSE
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/MyPage.java,MyPage,jButton1ActionPerformed/1[java.awt.event.ActionEvent],FALSE,1311,0,1,1,0,1,1,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,FALSE
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/MyPage.java,MyPage,jButton4ActionPerformed/1[java.awt.event.ActionEvent],FALSE,1347,0,1,1,0,2,5,13,0,3,1,5,0,0,0,0,1,0,4,0,4,1,1,0,0,0,19,2,0,FALSE
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/MyPage.java,MyPage,jButton13ActionPerformed/1[java.awt.event.ActionEvent],FALSE,1538,0,1,1,0,2,5,12,0,4,1,5,0,0,0,0,1,0,0,0,4,1,1,0,0,0,11,2,0,FALSE
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/MyPage.java,MyPage,jButton7ActionPerformed/1[java.awt.event.ActionEvent],FALSE,1405,0,1,1,0,4,11,32,0,4,1,11,0,0,0,0,2,0,5,1,6,0,2,0,0,0,18,2,0,FALSE
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/MyPage.java,MyPage,jButton9ActionPerformed/1[java.awt.event.ActionEvent],FALSE,1439,0,1,1,0,4,11,32,0,4,1,11,0,0,0,0,2,0,5,1,6,0,2,0,0,0,18,2,0,FALSE
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/MyPage.java,MyPage,TransferD/0,FALSE,1579,0,1,1,0,3,7,24,0,3,0,7,0,0,0,0,2,0,7,0,4,1,2,0,0,0,13,1,0,FALSE
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/MyPage.java,MyPage,jButton5ActionPerformed/1[java.awt.event.ActionEvent],FALSE,1362,0,1,1,0,1,1,5,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,2,0,FALSE
/Users/Mac/Downloads/J-A-Bank-Management-System-main/Bank_Management_System/src/MyPage.java,MyPage,TransferC/0,FALSE,1603,0,1,1,0,3,7,21,0,3,0,7,0,0,0,0,2,0,4,0,4,1,2,0,0,0,15,1,0,FALSE
